leducri01,Quebec Nordiques,QUE
leducri01,Indianapolis Racers,IND
leducri01,Quebec Nordiques,QUN
leducri01,Cleveland Crusaders,CLC
ledyagr01,Ottawa Senators,OTT
ledyagr01,Buffalo Sabres,BUF
ledyagr01,Vancouver Canucks,VAN
ledyagr01,Los Angeles Kings,LAK
ledyagr01,Dallas Stars,DAL
ledyagr01,New York Rangers,NYR
ledyagr01,Tampa Bay Lightning,TBL
ledyagr01,Washington Capitals,WAS
ledyagr01,Boston Bruins,BOS
leebbr01,Toronto Maple Leafs,TOR
leebbr01,Vancouver Canucks,VAN
leebgr01,Dallas Stars,DAL
leebo01,Montreal Canadiens,MTL
leebr01,Ottawa Senators,OTT
leebr01,Tampa Bay Lightning,TBL
leeed01,Quebec Nordiques,QUE
leemaga01,Calgary Flames,CAL
leemaga01,Toronto Maple Leafs,TOR
leemaga01,Montreal Canadiens,MTL
leemaga01,St. Louis Blues,STL
leemaga01,Vancouver Canucks,VAN
leepe01,Pittsburgh Penguins,PIT
leetcbr01,Boston Bruins,BOS
leetcbr01,Toronto Maple Leafs,TOR
leetcbr01,New York Rangers,NYR
lefebgu01,Pittsburgh Penguins,PIT
lefebgu01,Philadelphia Flyers,PHI
lefebgu01,Boston Bruins,BOS
lefebpa01,Washington Capitals,WAS
lefebsy01,Quebec Nordiques,QUE
lefebsy01,New York Rangers,NYR
lefebsy01,Colorado Avalanche,COL
lefebsy01,Montreal Canadiens,MTL
lefebsy01,Toronto Maple Leafs,TOR
leflebr01,Kansas City Scouts,KCS
leflebr01,New York Islanders,NYI
leflebr01,Colorado Rockies,COR
leflech01,Montreal Canadiens,MTL
leflech01,St. Louis Blues,STL
legacma01,St. Louis Blues,STL
legacma01,Los Angeles Kings,LAK
legacma01,Detroit Red Wings,DET
legacma01,Carolina Hurricanes,CAR
legerro01,Montreal Canadiens,MTL
legerro01,New York Rangers,NYR
leggeba01,Cleveland Crusaders,CLC
leggeba01,Denver Spurs/Ottawa Civics,DOT
leggeba01,Cincinnati Stingers,CIN
leggeba01,Minnesota Fighting Saints,MF2
leggeba01,Winnipeg Jets,WIN
leggeba01,Quebec Nordiques,QUE
leggeba01,Michigan Stags/Baltimore Blades,MIB
leggera01,Cleveland Crusaders,CLC
leggera01,San Diego Mariners,SDM
leggera01,Michigan Stags/Baltimore Blades,MIB
leggera01,New York Rangers,NYR
leggera01,Winnipeg Jets,WIJ
legricl01,Detroit Red Wings,DET
legwada01,Nashville Predators,NAS
lehmahu01,Chicago Black Hawks,CHI
lehmahu01,Vancouver Millionaires,VML
lehmahu01,New Westminster Royals,NWR
lehmahu01,Vancouver Maroons,VAM
lehmahu01,Vancouver Maroons,VMR
lehmahu01,Chicago Blackhawks,CHI
lehmasc01,Atlanta Thrashers,ATL
lehmato01,Boston Bruins,BOS
lehmato01,Edmonton Oilers,EDM
lehnero01,Ottawa Senators,OTT
lehouya01,Phoenix Coyotes,PHO
lehtije01,Dallas Stars,DAL
lehtoan01,Washington Capitals,WAS
lehtoka01,Dallas Stars,DAL
lehtoka01,Atlanta Thrashers,ATL
lehtomi01,Nashville Predators,NAS
lehtomi02,Boston Bruins,BOS
lehtope01,Pittsburgh Penguins,PIT
lehtope02,Finland,FIN
lehvohe01,Kansas City Scouts,KCS
leiered01,Chicago Black Hawks,CHI
leiered01,Chicago Blackhawks,CHI
leighmi01,Philadelphia Flyers,PHI
leighmi01,Chicago Blackhawks,CHI
leighmi01,Carolina Hurricanes,CAR
leighmi01,Chicago Black Hawks,CHI
leighmi01,Nashville Predators,NAS
leinomi01,Washington Capitals,WAS
leinomi01,New York Rangers,NYR
leinovi01,Philadelphia Flyers,PHI
leinovi01,Buffalo Sabres,BUF
leinovi01,Detroit Red Wings,DET
leitebo01,Pittsburgh Penguins,PIT
leitebo01,Calgary Cowboys,CAC
leitebo01,Boston Bruins,BOS
leitebo01,Atlanta Flames,ATF
leiteke01,Minnesota North Stars,MNS
leiteke01,New York Islanders,NYI
lemaija01,Montreal Canadiens,MTL
lemaymo01,Edmonton Oilers,EDM
lemaymo01,Boston Bruins,BOS
lemaymo01,Winnipeg Jets,WIN
lemaymo01,Vancouver Canucks,VAN
lemelja01,Quebec Nordiques,QUN
lemelre01,Boston Bruins,BOS
lemelre01,Atlanta Flames,ATF
lemelre01,Calgary Flames,CAL
lemelro01,Colorado Rockies,COR
lemelro01,Kansas City Scouts,KCS
lemieal01,Pittsburgh Penguins,PIT
lemieal01,St. Louis Blues,STL
lemieal01,Quebec Nordiques,QUE
lemiebo01,Oakland Seals,OAK
lemiecl01,Colorado Avalanche,COL
lemiecl01,Dallas Stars,DAL
lemiecl01,Montreal Canadiens,MTL
lemiecl01,New Jersey Devils,NJD
lemiecl01,San Jose Sharks,SJS
lemiecl01,Phoenix Coyotes,PHO
lemieja01,Los Angeles Kings,LAK
lemieje01,Washington Capitals,WAS
lemieje01,Atlanta Flames,ATF
lemiejo01,Phoenix Coyotes,PHO
lemiejo01,St. Louis Blues,STL
lemiejo01,Chicago Blackhawks,CHI
lemiejo01,New Jersey Devils,NJD
lemiejo01,Calgary Flames,CAL
lemiejo01,Chicago Black Hawks,CHI
lemiejo01,Hartford Whalers,HAR
lemiejo01,Montreal Canadiens,MTL
lemiema01,Pittsburgh Penguins,PIT
lemiere01,Buffalo Sabres,BUF
lemiere01,Los Angeles Kings,LAK
lemiere01,Detroit Red Wings,DET
lemiere01,New York Rangers,NYR
lemieri01,Calgary Cowboys,CAC
lemieri01,Vancouver Canucks,VAN
lemieri01,Kansas City Scouts,KCS
lemieri01,Atlanta Flames,ATF
lenarmi01,Hartford Whalers,HAR
lenarti01,New Jersey Devils,NJD
lenarti01,Vancouver Canucks,VAN
lenevda01,Columbus Blue Jackets,CBS
lenevda01,Phoenix Coyotes,PHO
leonage01,Quebec Bulldogs,QU1
leopojo01,Buffalo Sabres,BUF
leopojo01,Pittsburgh Penguins,PIT
leopojo01,Colorado Avalanche,COL
leopojo01,Calgary Flames,CAL
leopojo01,Florida Panthers,FLO
lepinhe01,Montreal Canadiens,MTL
lepinpi01,Montreal Canadiens,MTL
lepissa01,Washington Capitals,WAS
lepissa01,Columbus Blue Jackets,CBS
lepissa01,Phoenix Coyotes,PHO
lepissa01,Chicago Blackhawks,CHI
lepissa01,Chicago Black Hawks,CHI
leroufr01,Pittsburgh Penguins,PIT
leroufr01,Ottawa Senators,OTT
leroufr01,Edmonton Oilers,EDM
leroufr01,Colorado Avalanche,COL
lerouga01,Montreal Canadiens,MTL
lerouge01,Indianapolis Racers,IND
lerouje01,Chicago Black Hawks,CHI
lerouje01,Chicago Blackhawks,CHI
leschcu01,Ottawa Senators,OTT
leschcu01,Colorado Avalanche,COL
leschcu01,Washington Capitals,WAS
leschcu01,Quebec Nordiques,QUE
leschcu01,Hartford Whalers,HAR
leschcu01,Carolina Hurricanes,CAR
leschcu01,Minnesota Wild,MIN
lesiear01,Montreal Canadiens,MTL
lesiear01,Chicago Blackhawks,CHI
lesiear01,Chicago Black Hawks,CHI
lessafr01,Atlanta Thrashers,ATL
lessafr01,Ottawa Senators,OTT
lessaju01,Dallas Stars,DAL
lessaju01,Tampa Bay Lightning,TBL
lessama01,Los Angeles Kings,LAK
lessari01,Calgary Flames,CAL
lessari01,San Jose Sharks,SJS
lesuepe01,Toronto Blueshirts,TBS
lesuepe01,Toronto Ontarios,TOO
lesuepe01,Toronto Ontarios/Shamrocks,TOO
lesuepe01,Ottawa Senators,OT1
lesukbi01,Philadelphia Flyers,PHI
lesukbi01,Los Angeles Kings,LAK
lesukbi01,Winnipeg Jets,WIJ
lesukbi01,Washington Capitals,WAS
lesukbi01,Boston Bruins,BOS
lesukbi01,Winnipeg Jets,WIN
leswija01,Chicago Blackhawks,CHI
leswija01,Chicago Black Hawks,CHI
leswipe01,New York Americans,NYA
leswipe01,Boston Bruins,BOS
leswito01,Chicago Black Hawks,CHI
leswito01,New York Rangers,NYR
leswito01,Chicago Blackhawks,CHI
leswito01,Detroit Red Wings,DET
letanal01,Dallas Stars,DAL
letanal01,Calgary Flames,CAL
letanal01,New York Islanders,NYI
letankr01,Pittsburgh Penguins,PIT
letesma01,Pittsburgh Penguins,PIT
letesma01,Columbus Blue Jackets,CBS
letoupi01,New Jersey Devils,NJD
letoupi01,Calgary Flames,CAL
letowtr01,Columbus Blue Jackets,CBS
letowtr01,Carolina Hurricanes,CAR
letowtr01,Vancouver Canucks,VAN
letowtr01,Phoenix Coyotes,PHO
levanjo01,New York Rangers,NYR
levaslo01,Minnesota Fighting Saints,MFS
levaslo01,Edmonton Oilers,EDO
levaslo01,Quebec Nordiques,QUN
levaslo01,Minnesota Fighting Saints,MF2
levaslo01,Minnesota North Stars,MNS
levaslo01,New England Whalers,NEW
leveino01,Boston Bruins,BOS
leveqgu01,Los Angeles Kings,LAK
leverdo01,Calgary Flames,CAL
leverdo01,New Jersey Devils,NJD
leverdo01,Vancouver Canucks,VAN
leverdo01,Buffalo Sabres,BUF
leverdo01,Atlanta Flames,ATF
leverdo01,Colorado Rockies,COR
leviecr01,St. Louis Blues,STL
leviecr01,Minnesota North Stars,MNS
leviecr01,Vancouver Canucks,VAN
leviecr01,Winnipeg Jets,WIN
levinal01,Chicago Black Hawks,CHI
levinal01,New York Rangers,NYR
levinal01,Toronto Maple Leafs,TOR
levinal01,Chicago Blackhawks,CHI
levinsc01,Ottawa Senators,OTT
levinsc01,Phoenix Coyotes,PHO
levinsc01,Winnipeg Jets,WIN
levinsc01,Florida Panthers,FLO
levota01,Colorado Rockies,COR
levota01,New Jersey Devils,NJD
lewicda01,Chicago Black Hawks,CHI
lewicda01,Chicago Blackhawks,CHI
lewicda01,New York Rangers,NYR
lewicda01,Toronto Maple Leafs,TOR
lewisda01,Los Angeles Kings,LAK
lewisda01,New Jersey Devils,NJD
lewisda01,Detroit Red Wings,DET
lewisda01,New York Islanders,NYI
lewisda02,New York Rangers,NYR
lewisdo01,Montreal Canadiens,MTL
lewisgr01,Atlanta Thrashers,ATL
lewishe01,Detroit Cougars,DTC
lewishe01,Detroit Falcons,DTF
lewishe01,Detroit Red Wings,DET
lewistr01,Los Angeles Kings,LAK
leyri01,Hartford Whalers,HAR
leyri01,New England Whalers,NEW
leyri01,Toronto Maple Leafs,TOR
libaig01,Los Angeles Kings,LAK
libaig01,New York Rangers,NYR
libbyje01,New York Islanders,NYI
libetni01,Detroit Red Wings,DET
libetni01,Pittsburgh Penguins,PIT
licarto01,Detroit Red Wings,DET
liddibo01,Houston Aeros,HOU
liddibo01,Phoenix Roadrunners,PHR
liddibo01,Denver Spurs/Ottawa Civics,DOT
liddibo01,Chicago Cougars,CHC
liddibo01,Toronto Maple Leafs,TOR
lidstdo01,Dallas Stars,DAL
lidstdo01,New York Rangers,NYR
lidstdo01,St. Louis Blues,STL
lidstdo01,Vancouver Canucks,VAN
lidstni01,Detroit Red Wings,DET
liffida01,New York Rangers,NYR
liffida01,Colorado Avalanche,COL
liffier01,Renfrew Creamery Kings,REN
liffier01,Toronto Tecumsehs,TO1
lilesjo01,Colorado Avalanche,COL
lilesjo01,Toronto Maple Leafs,TOR
liljaan01,Florida Panthers,FLO
liljaan01,Los Angeles Kings,LAK
liljaan01,Anaheim Ducks,AND
liljaan01,Philadelphia Flyers,PHI
liljaan01,Detroit Red Wings,DET
lillejo01,Mighty Ducks of Anaheim,ANA
lilyhle01,Minnesota Fighting Saints,MFS
lindban01,Nashville Predators,NAS
lindbch01,Calgary Flames,CAL
lindbch01,Quebec Nordiques,QUE
lindbjo01,New York Rangers,NYR
lindbpe01,Philadelphia Flyers,PHI
lindeja01,Florida Panthers,FLO
lindetr01,Montreal Canadiens,MTL
lindetr01,Vancouver Canucks,VAN
lindetr01,Washington Capitals,WAS
lindetr01,New York Islanders,NYI
lindgla01,Vancouver Canucks,VAN
lindgla01,Minnesota North Stars,MNS
lindgma01,Vancouver Canucks,VAN
lindgma01,New York Islanders,NYI
lindgma01,Edmonton Oilers,EDM
lindgpe01,Dallas Stars,DAL
lindhma01,Winnipeg Jets,WIJ
lindhmi01,Los Angeles Kings,LAK
lindju01,Dallas Stars,DAL
lindju01,Montreal Canadiens,MTL
lindqfr01,Edmonton Oilers,EDM
lindrbr01,New York Islanders,NYI
lindrer01,Toronto Maple Leafs,TOR
lindrer01,New York Rangers,NYR
lindrer01,Dallas Stars,DAL
lindrer01,Philadelphia Flyers,PHI
lindsbe01,Toronto Arenas,TOA
lindsbe01,Victoria Aristocrats,VA1
lindsbe01,Renfrew Creamery Kings,REN
lindsbe01,Montreal Wanderers,MTW
lindsbe01,Montreal Wanderers,MOW
lindsbi01,Florida Panthers,FLO
lindsbi01,Atlanta Thrashers,ATL
lindsbi01,Montreal Canadiens,MTL
lindsbi01,Quebec Nordiques,QUE
lindsbi01,San Jose Sharks,SJS
lindsbi01,Calgary Flames,CAL
lindsdo01,Calgary Cowboys,CAC
lindsjo01,Phoenix Coyotes,PHO
lindsjo01,Columbus Blue Jackets,CBS
lindsjo01,Colorado Avalanche,COL
lindste01,Detroit Red Wings,DET
lindste01,Chicago Blackhawks,CHI
lindste01,Chicago Black Hawks,CHI
lindswi01,Winnipeg Jets,WIN
lindswi01,Pittsburgh Penguins,PIT
lindswi01,Winnipeg Jets,WIJ
lindswi01,Edmonton Oilers,EDM
lingda01,Montreal Canadiens,MTL
lingda01,Columbus Blue Jackets,CBS
linglch01,Edmonton Oilers,EDM
linseke01,Edmonton Oilers,EDM
linseke01,Birmingham Bulls,BIR
linseke01,Boston Bruins,BOS
linseke01,Toronto Maple Leafs,TOR
linseke01,Philadelphia Flyers,PHI
lintnri01,New York Rangers,NYR
lintnri01,Pittsburgh Penguins,PIT
lintnri01,Nashville Predators,NAS
lipumch01,Tampa Bay Lightning,TBL
lipumch01,San Jose Sharks,SJS
liscoca01,Detroit Red Wings,DET
lisinen01,Phoenix Coyotes,PHO
lisinen01,New York Rangers,NYR
littlbr01,Atlanta Thrashers,ATL
littlbr01,Winnipeg Jets,WPG
littlne01,Philadelphia Flyers,PHI
littmda01,Buffalo Sabres,BUF
littmda01,Tampa Bay Lightning,TBL
litzeed01,Montreal Canadiens,MTL
litzeed01,Chicago Black Hawks,CHI
litzeed01,Chicago Blackhawks,CHI
litzeed01,Detroit Red Wings,DET
litzeed01,Toronto Maple Leafs,TOR
liutmi01,St. Louis Blues,STL
liutmi01,Hartford Whalers,HAR
liutmi01,Washington Capitals,WAS
liutmi01,Cincinnati Stingers,CIN
lloydow01,Edmonton Oilers,EDO
loachlo01,Mighty Ducks of Anaheim,ANA
loachlo01,Los Angeles Kings,LAK
loachlo01,Ottawa Senators,OTT
lobanal01,Soviet All Stars,SOV
locasja01,Montreal Canadiens,MTL
locasja02,Michigan Stags/Baltimore Blades,MIB
locasja02,Indianapolis Racers,IND
locasja02,Cincinnati Stingers,CIN
locasja02,Calgary Cowboys,CAC
lochebi01,Colorado Rockies,COR
lochebi01,Detroit Red Wings,DET
lochebi01,New York Rangers,NYR
lockeco01,Montreal Canadiens,MTL
lockeco01,New York Rangers,NYR
lockeco01,Ottawa Senators,OTT
lockeke01,San Diego Mariners,SDM
lockeke01,Vancouver Canucks,VAN
lockhho01,Toronto St. Patricks,TRS
lockhho01,Boston Bruins,BOS
lockhho01,228th Battalion,TOB
lockhho01,Quebec Bulldogs,QUB
lockhho01,Hamilton Tigers,HAM
lockino01,Chicago Black Hawks,CHI
lockino01,Chicago Blackhawks,CHI
lodboda01,Chicago Cougars,CHC
loeweda01,Buffalo Sabres,BUF
loeweda01,Ottawa Senators,OTT
lofthma01,Detroit Red Wings,DET
lofthma01,Washington Capitals,WAS
loganda01,Chicago Blackhawks,CHI
loganda01,Chicago Black Hawks,CHI
loganda01,Vancouver Canucks,VAN
loganro01,Los Angeles Kings,LAK
loganro01,Buffalo Sabres,BUF
loisecl01,New York Islanders,NYI
loisecl01,New Jersey Devils,NJD
loisecl01,Quebec Nordiques,QUE
loisecl01,Toronto Maple Leafs,TOR
loisecl01,Detroit Red Wings,DET
lojekma01,Florida Panthers,FLO
lokotvl01,Soviet All Stars,SOV
loktian01,Los Angeles Kings,LAK
lomakan01,Philadelphia Flyers,PHI
lomakan01,Florida Panthers,FLO
lombama01,Nashville Predators,NAS
lombama01,Calgary Flames,CAL
lombama01,Toronto Maple Leafs,TOR
lombama01,Phoenix Coyotes,PHO
lomenma01,Denver Spurs/Ottawa Civics,DOT
lomenma01,Indianapolis Racers,IND
lomenma01,Chicago Cougars,CHC
loneybr01,Vancouver Canucks,VAN
loneytr01,New York Islanders,NYI
loneytr01,Mighty Ducks of Anaheim,ANA
loneytr01,New York Rangers,NYR
loneytr01,Pittsburgh Penguins,PIT
longba01,Winnipeg Jets,WIJ
longba01,Edmonton Oilers,EDO
longba01,Detroit Red Wings,DET
longba01,Winnipeg Jets,WIN
longba01,Los Angeles Kings,LAK
longfed01,Toronto Tecumsehs,TO1
longst01,Montreal Canadiens,MTL
longte01,Cincinnati Stingers,CIN
lonsbro01,Pittsburgh Penguins,PIT
lonsbro01,Boston Bruins,BOS
lonsbro01,Philadelphia Flyers,PHI
lonsbro01,Los Angeles Kings,LAK
loobha01,Calgary Flames,CAL
loobpe01,Quebec Nordiques,QUE
loprepe01,Edmonton Oilers,EDM
loprepe01,Minnesota North Stars,MNS
lopresa01,Chicago Blackhawks,CHI
lopresa01,Chicago Black Hawks,CHI
lorenda01,New York Islanders,NYI
lorenji01,Boston Bruins,BOS
lorenji01,St. Louis Blues,STL
lorenji01,Buffalo Sabres,BUF
lorenji01,New York Rangers,NYR
lorimbo01,New York Islanders,NYI
lorimbo01,Colorado Rockies,COR
lorimbo01,New Jersey Devils,NJD
lorraro01,Montreal Canadiens,MTL
loughcl01,Portland Rosebuds,PO1
loughcl01,Detroit Cougars,DTC
loughcl01,Victoria Cougars,VC1
loughcl01,Victoria Aristocrats,VA2
loughcl01,Chicago Blackhawks,CHI
loughcl01,Chicago Black Hawks,CHI
loughcl01,Victoria Cougars,VIC
loughwi01,Victoria Cougars,VC1
loughwi01,Regina Capitals,REG
loughwi01,Toronto St. Patricks,TRS
loughwi01,Victoria Aristocrats,VA2
loughwi01,Edmonton Eskimos,EDE
loustro01,Winnipeg Jets,WIN
lovejbe01,Pittsburgh Penguins,PIT
lovsike01,Washington Capitals,WAS
lowdedw01,Washington Capitals,WAS
loweda01,Pittsburgh Penguins,PIT
loweke01,Edmonton Oilers,EDM
loweke01,New York Rangers,NYR
loweod01,New York Rangers,NYR
lowero01,Boston Bruins,BOS
lowero01,Montreal Canadiens,MTL
lowre01,St. Louis Blues,STL
lowre01,Chicago Blackhawks,CHI
lowre01,Chicago Black Hawks,CHI
lowreed01,Toronto Blueshirts,TBS
lowreed01,Ottawa Senators,OT1
lowreed01,Hamilton Tigers,HAM
lowreed01,Ottawa Senators,OTS
lowreed01,Montreal Canadiens,MOC
lowreed01,Toronto Ontarios,TOO
lowreed01,Regina Capitals,REG
lowreed01,Toronto Ontarios/Shamrocks,TOO
lowrefr01,Pittsburgh Pirates,PIP
lowrefr01,Montreal Maroons,MTM
lowrege01,Pittsburgh Pirates,PIP
lowrege01,Chicago Black Hawks,CHI
lowrege01,Chicago Blackhawks,CHI
lowrege01,Toronto Maple Leafs,TOR
lowrege01,Ottawa Senators,OTS
lowrege01,Philadelphia Quakers,PHQ
lowro01,New Jersey Devils,NJD
lowro01,Edmonton Oilers,EDM
lowro01,Quebec Nordiques,QUE
lowro01,Detroit Red Wings,DET
lowro01,Washington Capitals,WAS
lowro01,Toronto Maple Leafs,TOR
lowryda01,St. Louis Blues,STL
lowryda01,Vancouver Canucks,VAN
lowryda01,San Jose Sharks,SJS
lowryda01,Calgary Flames,CAL
lowryda01,Florida Panthers,FLO
lowtnle01,Toronto Blueshirts,TBS
loynsly01,Calgary Flames,CAL
loynsly01,San Jose Sharks,SJS
lozinla01,Detroit Red Wings,DET
lucasda01,Detroit Red Wings,DET
lucasda02,Philadelphia Flyers,PHI
lucedo01,Buffalo Sabres,BUF
lucedo01,Toronto Maple Leafs,TOR
lucedo01,New York Rangers,NYR
lucedo01,Los Angeles Kings,LAK
lucedo01,Detroit Red Wings,DET
lucicmi01,Boston Bruins,BOS
ludvija01,New Jersey Devils,NJD
ludvija01,Buffalo Sabres,BUF
ludwicr01,New York Islanders,NYI
ludwicr01,Montreal Canadiens,MTL
ludwicr01,Minnesota North Stars,MNS
ludwicr01,Dallas Stars,DAL
ludzist01,Chicago Blackhawks,CHI
ludzist01,Chicago Black Hawks,CHI
ludzist01,Buffalo Sabres,BUF
luhniwa01,Dallas Stars,DAL
luhniwa01,New York Islanders,NYI
lukacjo01,Czechoslovakia,CZE
lukowbe01,St. Louis Blues,STL
lukowbe01,Pittsburgh Penguins,PIT
lukowbe01,Calgary Cowboys,CAC
lukowbr01,Tampa Bay Lightning,TBL
lukowbr01,Vancouver Canucks,VAN
lukowbr01,Dallas Stars,DAL
lukowbr01,San Jose Sharks,SJS
lukowbr01,New Jersey Devils,NJD
lukowbr01,New York Islanders,NYI
lukowmo01,Winnipeg Jets,WIN
lukowmo01,Houston Aeros,HOU
lukowmo01,Los Angeles Kings,LAK
lukowmo01,Boston Bruins,BOS
lukowmo01,Winnipeg Jets,WIJ
luksach01,Cincinnati Stingers,CIN
luksach01,Hartford Whalers,HAR
lumleda01,Hartford Whalers,HAR
lumleda01,Montreal Canadiens,MTL
lumleda01,Edmonton Oilers,EDM
lumleha01,Detroit Red Wings,DET
lumleha01,New York Rangers,NYR
lumleha01,Toronto Maple Leafs,TOR
lumleha01,Boston Bruins,BOS
lumleha01,Chicago Black Hawks,CHI
lumleha01,Chicago Blackhawks,CHI
lummejy01,Phoenix Coyotes,PHO
lummejy01,Vancouver Canucks,VAN
lummejy01,Montreal Canadiens,MTL
lummejy01,Dallas Stars,DAL
lummejy01,Toronto Maple Leafs,TOR
lundbbr01,Pittsburgh Penguins,PIT
lundele01,Chicago Blackhawks,CHI
lundele01,Chicago Black Hawks,CHI
lundele01,Edmonton Oilers,EDO
lundele01,Detroit Red Wings,DET
lundele01,Vancouver Canucks,VAN
lundele01,Minnesota North Stars,MNS
lundhbe01,Winnipeg Jets,WIN
lundimi01,Minnesota Wild,MIN
lundimi01,Tampa Bay Lightning,TBL
lundla01,Houston Aeros,HOU
lundmja01,Phoenix Coyotes,PHO
lundmja01,Calgary Flames,CAL
lundmja01,Los Angeles Kings,LAK
lundmja01,Toronto Maple Leafs,TOR
lundmja01,New York Rangers,NYR
lundpe01,New York Rangers,NYR
lundpe01,Boston Bruins,BOS
lundqhe01,New York Rangers,NYR
lundqjo01,Dallas Stars,DAL
lundrjo01,Toronto Maple Leafs,TOR
lundrjo01,Washington Capitals,WAS
lundsto01,Detroit Red Wings,DET
lundypa01,Chicago Blackhawks,CHI
lundypa01,Detroit Red Wings,DET
lundypa01,Chicago Black Hawks,CHI
luomami01,Edmonton Oilers,EDM
luongch01,New York Islanders,NYI
luongch01,Ottawa Senators,OTT
luongch01,Detroit Red Wings,DET
luongro01,Florida Panthers,FLO
luongro01,Vancouver Canucks,VAN
luongro01,New York Islanders,NYI
lupasro01,Pittsburgh Penguins,PIT
lupiegi01,Pittsburgh Penguins,PIT
lupiegi01,Montreal Canadiens,MTL
lupiegi01,Hartford Whalers,HAR
lupulga01,Vancouver Canucks,VAN
lupuljo01,Edmonton Oilers,EDM
lupuljo01,Philadelphia Flyers,PHI
lupuljo01,Mighty Ducks of Anaheim,ANA
lupuljo01,Toronto Maple Leafs,TOR
lupuljo01,Anaheim Ducks,AND
lyashro01,New York Rangers,NYR
lyashro01,Dallas Stars,DAL
lyckaja01,Czechoslovakia,CZE
lydmato01,Buffalo Sabres,BUF
lydmato01,Anaheim Ducks,AND
lydmato01,Calgary Flames,CAL
lylege01,Hartford Whalers,HAR
lylege01,Detroit Red Wings,DET
lylege01,New England Whalers,NEW
lynchdo01,Edmonton Oilers,EDM
lynchja01,Pittsburgh Penguins,PIT
lynchja01,Detroit Red Wings,DET
lynchja01,Washington Capitals,WAS
lynnvi01,New York Rangers,NYR
lynnvi01,Boston Bruins,BOS
lynnvi01,Toronto Maple Leafs,TOR
lynnvi01,Chicago Blackhawks,CHI
lynnvi01,Detroit Red Wings,DET
lynnvi01,Chicago Black Hawks,CHI
lynnvi01,Montreal Canadiens,MTL
lyonsro01,Philadelphia Quakers,PHQ
lyonsro01,Boston Bruins,BOS
lyonst01,Pittsburgh Penguins,PIT
lysakbr01,Carolina Hurricanes,CAR
lysiato01,Chicago Black Hawks,CHI
lysiato01,Atlanta Flames,ATF
lysiato01,Chicago Blackhawks,CHI
macadal01,Philadelphia Flyers,PHI
macadal01,Vancouver Canucks,VAN
macadal01,California Golden Seals,CLF
macadal01,Minnesota North Stars,MNS
macadal01,Cleveland Barons,CLE
macarcl01,Buffalo Sabres,BUF
macarcl01,Toronto Maple Leafs,TOR
macarcl01,Atlanta Thrashers,ATL
macdela01,Boston Bruins,BOS
macdepa01,Hartford Whalers,HAR
macdepa01,Winnipeg Jets,WIN
macdepa01,Quebec Nordiques,QUE
macdepa01,Washington Capitals,WAS
macdoan01,New York Islanders,NYI
macdobl01,Indianapolis Racers,IND
macdobl01,Edmonton Oilers,EDO
macdobl01,Vancouver Canucks,VAN
macdobl01,Edmonton Oilers,EDM
macdobr01,Vancouver Canucks,VAN
macdocr01,Carolina Hurricanes,CAR
macdocr01,Tampa Bay Lightning,TBL
macdocr01,Columbus Blue Jackets,CBS
macdocr01,Florida Panthers,FLO
macdocr01,Boston Bruins,BOS
macdocr01,Chicago Black Hawks,CHI
macdocr01,Calgary Flames,CAL
macdocr01,Chicago Blackhawks,CHI
macdodo01,Buffalo Sabres,BUF
macdoja01,New York Rangers,NYR
macdojo01,New York Islanders,NYI
macdojo01,Boston Bruins,BOS
macdojo01,Detroit Red Wings,DET
macdojo01,Toronto Maple Leafs,TOR
macdoke01,Ottawa Senators,OTT
macdoki01,New York Rangers,NYR
macdoki02,Minnesota North Stars,MNS
macdolo01,Los Angeles Kings,LAK
macdolo01,Detroit Red Wings,DET
macdolo01,Pittsburgh Penguins,PIT
macdopa01,New York Rangers,NYR
macdopa01,Boston Bruins,BOS
macdopa01,Detroit Red Wings,DET
macdopa01,Toronto Maple Leafs,TOR
macdopa01,Minnesota North Stars,MNS
maceash01,St. Louis Blues,STL
macenma01,Anaheim Ducks,AND
maceyhu01,Montreal Canadiens,MTL
maceyhu01,New York Rangers,NYR
macgrbr01,New York Rangers,NYR
macgrbr01,Detroit Red Wings,DET
macgrbr01,Edmonton Oilers,EDO
macgrga01,Cleveland Crusaders,CLC
macgrga01,Denver Spurs/Ottawa Civics,DOT
macgrga01,Edmonton Oilers,EDO
macgrga01,New England Whalers,NEW
macgrga01,Chicago Cougars,CHC
macgrga01,Indianapolis Racers,IND
macgrra01,Hartford Whalers,HAR
macguga01,New York Islanders,NYI
machasp01,Winnipeg Jets,WPG
machasp01,Atlanta Thrashers,ATL
maciara01,Colorado Avalanche,COL
macinal01,St. Louis Blues,STL
macinal01,Calgary Flames,CAL
macindr01,Vancouver Canucks,VAN
macindr01,Buffalo Sabres,BUF
macinia01,New York Rangers,NYR
macinst01,Pittsburgh Penguins,PIT
macinst01,Florida Panthers,FLO
macinst01,Edmonton Oilers,EDM
macivdo01,Winnipeg Jets,WIN
macivno01,Phoenix Coyotes,PHO
macivno01,Hartford Whalers,HAR
macivno01,Winnipeg Jets,WIN
macivno01,New York Rangers,NYR
macivno01,Ottawa Senators,OTT
macivno01,Edmonton Oilers,EDM
macivno01,Pittsburgh Penguins,PIT
mackabl01,Toronto Maple Leafs,TOR
mackaca01,Detroit Red Wings,DET
mackaca01,Montreal Canadiens,MTL
mackada01,Chicago Black Hawks,CHI
