andrepa01,Buffalo Sabres,BUF
andrepa01,Cleveland Crusaders,CLC
andrepa01,California Golden Seals,CLF
andrial01,Chicago Black Hawks,CHI
andrial01,Chicago Blackhawks,CHI
andrugr01,Toronto Maple Leafs,TOR
andrugr01,Pittsburgh Penguins,PIT
andruro01,Montreal Canadiens,MTL
andruro01,Colorado Rockies,COR
angelme01,Washington Capitals,WAS
angelmi01,Tampa Bay Lightning,TBL
angotlo01,Pittsburgh Penguins,PIT
angotlo01,New York Rangers,NYR
angotlo01,Chicago Cougars,CHC
angotlo01,St. Louis Blues,STL
angotlo01,Chicago Blackhawks,CHI
angotlo01,Philadelphia Flyers,PHI
angotlo01,Chicago Black Hawks,CHI
anholda01,Chicago Black Hawks,CHI
anholda01,Chicago Blackhawks,CHI
anisiar01,New York Rangers,NYR
anslohu01,New York Rangers,NYR
antonmi01,New Jersey Devils,NJD
antonmi01,Minnesota Fighting Saints,MFS
antonmi01,New England Whalers,NEW
antonmi01,Hartford Whalers,HAR
antonmi01,Minnesota North Stars,MNS
antonmi01,Minnesota Fighting Saints,MF2
antonmi01,Edmonton Oilers,EDO
antossh01,Vancouver Canucks,VAN
antossh01,Philadelphia Flyers,PHI
antossh01,Pittsburgh Penguins,PIT
antossh01,Mighty Ducks of Anaheim,ANA
antroni01,New York Rangers,NYR
antroni01,Winnipeg Jets,WPG
antroni01,Atlanta Thrashers,ATL
antroni01,Toronto Maple Leafs,TOR
appssy01,Toronto Maple Leafs,TOR
appssy02,Los Angeles Kings,LAK
appssy02,Pittsburgh Penguins,PIT
appssy02,New York Rangers,NYR
arboual01,St. Louis Blues,STL
arboual01,Detroit Red Wings,DET
arboual01,Chicago Blackhawks,CHI
arboual01,Toronto Maple Leafs,TOR
arboual01,Chicago Black Hawks,CHI
arbouam01,228th Battalion,TOB
arbouam01,Montreal Canadiens,MTL
arbouam01,Toronto St. Patricks,TRS
arbouam01,Hamilton Tigers,HAM
arbouam01,Montreal Canadiens,MOC
arbouja01,Detroit Cougars,DTC
arbouja01,Toronto Maple Leafs,TOR
arbouja01,Seattle Metropolitans,SEA
arbouja01,Calgary Tigers,CAT
arboujo01,Vancouver Canucks,VAN
arboujo01,Minnesota Fighting Saints,MFS
arboujo01,Minnesota Fighting Saints,MF2
arboujo01,Calgary Cowboys,CAC
arboujo01,Boston Bruins,BOS
arboujo01,Denver Spurs/Ottawa Civics,DOT
arboujo01,St. Louis Blues,STL
arboujo01,Pittsburgh Penguins,PIT
arbouty01,Vancouver Maroons,VMR
arbouty01,Pittsburgh Pirates,PIP
arbouty01,Edmonton Eskimos,EDE
arbouty01,Chicago Black Hawks,CHI
arbouty01,Chicago Blackhawks,CHI
archami01,Quebec Nordiques,QUN
archami01,Chicago Black Hawks,CHI
archami01,Chicago Blackhawks,CHI
archayv01,Philadelphia Blazers,PHB
archayv01,Vancouver Blazers,VAB
archida01,New York Rangers,NYR
archida01,Ottawa Senators,OTT
archida01,New York Islanders,NYI
archida01,Minnesota North Stars,MNS
archiji01,Minnesota North Stars,MNS
areshro01,Edmonton Oilers,EDM
arkhide01,Chicago Black Hawks,CHI
arkhide01,Chicago Blackhawks,CHI
arkhide01,Nashville Predators,NAS
armstbi01,Philadelphia Flyers,PHI
armstbo01,Boston Bruins,BOS
armstch01,Minnesota Wild,MIN
armstch01,Mighty Ducks of Anaheim,ANA
armstco01,Pittsburgh Penguins,PIT
armstco01,Toronto Maple Leafs,TOR
armstco01,Atlanta Thrashers,ATL
armstde01,St. Louis Blues,STL
armstde01,Los Angeles Kings,LAK
armstde01,New York Rangers,NYR
armstde01,New York Islanders,NYI
armstde01,Ottawa Senators,OTT
armstge01,Toronto Maple Leafs,TOR
armstmu01,New York Americans,NYA
armstmu01,Detroit Red Wings,DET
armstmu01,Brooklyn Americans,BKN
armstmu01,Toronto Maple Leafs,TOR
armstno01,Toronto Maple Leafs,TOR
armstri01,San Jose Sharks,SJS
armstti01,Toronto Maple Leafs,TOR
arnasch01,Atlanta Flames,ATF
arnasch01,Montreal Canadiens,MTL
arnasch01,Colorado Rockies,COR
arnasch01,Kansas City Scouts,KCS
arnasch01,Washington Capitals,WAS
arnasch01,Cleveland Barons,CLE
arnasch01,Pittsburgh Penguins,PIT
arnasch01,Minnesota North Stars,MNS
arnasty01,Chicago Blackhawks,CHI
arnasty01,Chicago Black Hawks,CHI
arnasty01,Ottawa Senators,OTT
arnasty01,Colorado Avalanche,COL
arndtda01,Birmingham Bulls,BIR
arndtda01,New England Whalers,NEW
arndtda01,Edmonton Oilers,EDO
arnieja01,Boston Bruins,BOS
arniesc01,Buffalo Sabres,BUF
arniesc01,Boston Bruins,BOS
arniesc01,Winnipeg Jets,WIN
arnotja01,Dallas Stars,DAL
arnotja01,Edmonton Oilers,EDM
arnotja01,Washington Capitals,WAS
arnotja01,Nashville Predators,NAS
arnotja01,New Jersey Devils,NJD
arnotja01,St. Louis Blues,STL
arsende01,Edmonton Oilers,EDM
arthufr01,Hartford Whalers,HAR
arthufr01,Philadelphia Flyers,PHI
artyuev01,Tampa Bay Lightning,TBL
artyuev01,Atlanta Thrashers,ATL
artyuev01,Anaheim Ducks,AND
arundjo01,Toronto Maple Leafs,TOR
arvedma01,Vancouver Canucks,VAN
arvedma01,Ottawa Senators,OTT
aseltja01,Vancouver Maroons,VAM
aseltja01,Saskatoon/Moose Jaw Sheiks,SMJ
aseltja01,Regina Capitals,REG
ashamar01,Philadelphia Flyers,PHI
ashamar01,New York Islanders,NYI
ashamar01,New Jersey Devils,NJD
ashamar01,Pittsburgh Penguins,PIT
ashamar01,Montreal Canadiens,MTL
ashbeba01,Boston Bruins,BOS
ashbeba01,Philadelphia Flyers,PHI
ashbo01,Indianapolis Racers,IND
ashbo01,Winnipeg Jets,WIJ
ashbydo01,Colorado Rockies,COR
ashbydo01,Toronto Maple Leafs,TOR
ashbydo01,Edmonton Oilers,EDM
ashtobr01,Winnipeg Jets,WIN
ashtobr01,Quebec Nordiques,QUE
ashtobr01,Detroit Red Wings,DET
ashtobr01,Vancouver Canucks,VAN
ashtobr01,Boston Bruins,BOS
ashtobr01,Minnesota North Stars,MNS
ashtobr01,Calgary Flames,CAL
ashtobr01,Colorado Rockies,COR
ashtobr01,New Jersey Devils,NJD
ashtoca01,Toronto Maple Leafs,TOR
ashtoro01,Winnipeg Jets,WIJ
ashwofr01,Chicago Black Hawks,CHI
ashwofr01,Chicago Blackhawks,CHI
askeyto01,Mighty Ducks of Anaheim,ANA
asmunfr01,Winnipeg Jets,WIJ
asmunos01,New York Americans,NYA
asmunos01,St. Louis Eagles,STE
asmunos01,Montreal Canadiens,MTL
asmunos01,Detroit Red Wings,DET
asmunos01,New York Rangers,NYR
astaska01,Tampa Bay Lightning,TBL
astlema01,Buffalo Sabres,BUF
astroha01,New York Rangers,NYR
astroha01,Colorado Rockies,COR
atanawa01,New York Rangers,NYR
atchebl01,Ottawa Senators,OTT
atchebl01,Nashville Predators,NAS
atchebl01,Chicago Black Hawks,CHI
atchebl01,Chicago Blackhawks,CHI
atchebl01,St. Louis Blues,STL
atkinar01,Montreal Wanderers,MOW
atkinca01,Columbus Blue Jackets,CBS
atkinst01,Toronto Toros,TOT
atkinst01,Boston Bruins,BOS
atkinst01,Washington Capitals,WAS
atkinst01,Buffalo Sabres,BUF
attwebo01,Colorado Rockies,COR
attwero01,St. Louis Blues,STL
attwero01,New York Rangers,NYR
aubinje01,Pittsburgh Penguins,PIT
aubinje01,Toronto Maple Leafs,TOR
aubinje01,Los Angeles Kings,LAK
aubinno01,Toronto Maple Leafs,TOR
aubinse01,Atlanta Thrashers,ATL
aubinse01,Columbus Blue Jackets,CBS
aubinse01,Colorado Avalanche,COL
aubrypi01,Detroit Red Wings,DET
aubrypi01,Quebec Nordiques,QUE
aubryse01,Quebec Nordiques,QUN
aubryse01,Cincinnati Stingers,CIN
aubucos01,New York Rangers,NYR
aubucos01,Boston Bruins,BOS
aucoiad01,Chicago Blackhawks,CHI
aucoiad01,Phoenix Coyotes,PHO
aucoiad01,Vancouver Canucks,VAN
aucoiad01,Chicago Black Hawks,CHI
aucoiad01,Calgary Flames,CAL
aucoiad01,New York Islanders,NYI
aucoiad01,Tampa Bay Lightning,TBL
aucoike01,Washington Capitals,WAS
aucoike01,Carolina Hurricanes,CAR
audetdo01,Dallas Stars,DAL
audetdo01,Los Angeles Kings,LAK
audetdo01,Buffalo Sabres,BUF
audetdo01,Atlanta Thrashers,ATL
audetdo01,Montreal Canadiens,MTL
audetdo01,Florida Panthers,FLO
audetph01,Detroit Red Wings,DET
augele01,Colorado Rockies,COR
auguspa01,Toronto Maple Leafs,TOR
auguspa01,Washington Capitals,WAS
auldal01,Ottawa Senators,OTT
auldal01,Montreal Canadiens,MTL
auldal01,Phoenix Coyotes,PHO
auldal01,Boston Bruins,BOS
auldal01,Florida Panthers,FLO
auldal01,Vancouver Canucks,VAN
auldal01,New York Rangers,NYR
auldal01,Dallas Stars,DAL
aulieke01,Tampa Bay Lightning,TBL
aulieke01,Toronto Maple Leafs,TOR
aulinja01,Los Angeles Kings,LAK
auriela01,Detroit Cougars,DTC
auriela01,Detroit Red Wings,DET
auriela01,Detroit Falcons,DTF
averyse01,Detroit Red Wings,DET
averyse01,Los Angeles Kings,LAK
averyse01,New York Rangers,NYR
averyse01,Dallas Stars,DAL
awreydo01,Pittsburgh Penguins,PIT
awreydo01,Colorado Rockies,COR
awreydo01,Boston Bruins,BOS
awreydo01,St. Louis Blues,STL
awreydo01,New York Rangers,NYR
awreydo01,Montreal Canadiens,MTL
axelspj01,Boston Bruins,BOS
ayresve01,St. Louis Eagles,STE
ayresve01,New York Americans,NYA
ayresve01,New York Rangers,NYR
ayresve01,Montreal Maroons,MTM
babanpe01,Boston Bruins,BOS
babanpe01,Chicago Black Hawks,CHI
babanpe01,Chicago Blackhawks,CHI
babanpe01,New York Rangers,NYR
babanpe01,Detroit Red Wings,DET
babarse01,Soviet All Stars,SOV
babchan01,Chicago Blackhawks,CHI
babchan01,Chicago Black Hawks,CHI
babchan01,Carolina Hurricanes,CAR
babchan01,Calgary Flames,CAL
babcobo01,Washington Capitals,WAS
babenyu01,Colorado Avalanche,COL
babewa01,Minnesota North Stars,MNS
babinmi01,St. Louis Blues,STL
babycda01,Vancouver Canucks,VAN
babycda01,Los Angeles Kings,LAK
babycda01,Hartford Whalers,HAR
babycda01,Winnipeg Jets,WIN
babycda01,Philadelphia Flyers,PHI
babycwa01,Hartford Whalers,HAR
babycwa01,Pittsburgh Penguins,PIT
babycwa01,Quebec Nordiques,QUE
babycwa01,St. Louis Blues,STL
babyjo01,Cleveland Barons,CLE
babyjo01,Minnesota North Stars,MNS
bacaje01,Hartford Whalers,HAR
bacasja01,St. Louis Blues,STL
bachmri01,Dallas Stars,DAL
bachry01,Los Angeles Kings,LAK
backeda01,St. Louis Blues,STL
backljo01,Philadelphia Flyers,PHI
backlmi01,Calgary Flames,CAL
backmch01,St. Louis Blues,STL
backmch01,New York Rangers,NYR
backmch01,Columbus Blue Jackets,CBS
backmmi01,New York Rangers,NYR
backope01,Toronto Maple Leafs,TOR
backsni01,Minnesota Wild,MIN
backsni02,Washington Capitals,WAS
backsra01,New England Whalers,NEW
backsra01,Chicago Blackhawks,CHI
backsra01,Chicago Cougars,CHC
backsra01,Chicago Black Hawks,CHI
backsra01,Denver Spurs/Ottawa Civics,DOT
backsra01,Montreal Canadiens,MTL
backsra01,Los Angeles Kings,LAK
baertsv01,Calgary Flames,CAL
bagnadr01,Minnesota Wild,MIN
baileac01,Toronto St. Patricks,TRS
baileac01,Toronto Maple Leafs,TOR
bailebo01,Chicago Black Hawks,CHI
bailebo01,Detroit Red Wings,DET
bailebo01,Chicago Blackhawks,CHI
bailebo01,Toronto Maple Leafs,TOR
bailega01,Detroit Red Wings,DET
bailega01,Boston Bruins,BOS
bailega01,St. Louis Blues,STL
bailega01,Washington Capitals,WAS
bailega01,Edmonton Oilers,EDO
bailejo01,New York Islanders,NYI
bailere01,Philadelphia Flyers,PHI
bailere01,Toronto Maple Leafs,TOR
bailere01,Hartford Whalers,HAR
bailesc01,Boston Bruins,BOS
bailljo01,Quebec Nordiques,QUE
bailljo01,Winnipeg Jets,WIN
bairdke01,Alberta Oilers,ALB
bairdke01,Edmonton Oilers,EDO
bairdke01,California Golden Seals,CLF
bairdke01,Calgary Cowboys,CAC
bairdke01,Winnipeg Jets,WIJ
bakerbi01,Montreal Canadiens,MTL
bakerbi01,St. Louis Blues,STL
bakerbi01,New York Rangers,NYR
bakerbi01,Colorado Rockies,COR
bakerbi02,Montreal Shamrocks,MOS
bakerbr01,Montreal Wanderers,MOW
bakerfr01,Toronto Blueshirts,TBS
bakerha01,Calgary Tigers,CAT
bakerja01,Ottawa Senators,OTT
bakerja01,Quebec Nordiques,QUE
bakerja01,San Jose Sharks,SJS
bakerja01,Toronto Maple Leafs,TOR
bakerst01,New York Rangers,NYR
